Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,10u,
C10,0805,1,47u,
"C11, C12, C13, C17",0805,4,10u,
"C14, C15, C16, C21, C4, C8",0805,6,0.1u,
"C19, C20",CP_Radial_D6.3mm_P2.50mm,2,2.2u,
C2,CAP_UCD_8X10_NCH-L,1,470u,
C3,CP_Radial_D6.3mm_P2.50mm,1,100u,
C5,C_Disc_D9.0mm_W5.0mm_P10.00mm,1,1n,
C7,0805,1,3.3u,
C9,0805,1,56p,
D1,D_SMB,1,~,
F1,FUSE_36911000000,1,1,
"J1, J3",PADPOWER,2,Conn_01x01_Socket,
J2,EdgeConnHolePi3,1,Conn_01x06_Socket,
J6,SAMTEC_FTSH-104-01-L-DH,1,Conn_01x08_Pin,
L1,IND_BOURNS_SRN4018,1,2.2u,
L3,L_Wuerth_MAPI-3020,1,L,
"L4, L6",IND_MAMK2520T1R0M_TAY-L,2,4.7u,
PS1,CONV_LS10-13B24R3,1,10ACFEW-24S3,
"R3, R4",0805,2,0.340,
R5,0805,1,100k,
R6,0805,1,22.1k,
R7,2010,1,1Mega,
TH2,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,1,Thermistor_NTC,
"U1, U2",DDC0006A_L,2,TPS92200D2DDCR,
U3,SOT-23-6,1,TPS54202DDC,
